"h3_id","h3_mean_temp","h3_median_temp","h3_center_lon","h3_center_lat","species","n_occ","min_seabed_t","mean_seabed_t","median_seabed_t","max_seabed_t","mid_point","thermal_range","seabed_thermal_pos"
"852a61a3fffffff",1.838,1.838,-62.2850094199793,34.4421566167167,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a61a7fffffff",1.844,1.844,-62.2197439745161,34.3212179199166,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.787
"852a61abfffffff",1.835,1.835,-62.4627901898129,34.4536082982731,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a61affffffff",1.837,1.837,-62.397014879114,34.332693909385,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a61b3fffffff",1.84,1.84,-62.1725449019135,34.5516776278086,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a61b7fffffff",1.84,1.84,-62.107444637534,34.4304588163169,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a61bbfffffff",1.837,1.837,-62.3506220732298,34.5633519358858,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a61c3fffffff",1.851,1.851,-62.7294143471861,34.9398125511542,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.787
"852a61c7fffffff",1.836,1.836,-62.6622245860238,34.8178810802169,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a61cbfffffff",1.842,1.842,-62.9094717193205,34.9509000440778,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.787
"852a61cffffffff",1.837,1.837,-62.8417623373659,34.8289996493733,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a61d3fffffff",1.838,1.838,-62.6165972197715,35.0506838578016,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a61d7fffffff",1.836,1.836,-62.5495694466902,34.9284698886031,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a61dbfffffff",1.859,1.859,-62.7969643879469,35.0619962458276,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.786
"852a6203fffffff",1.832,1.832,-64.464738918325,35.5101963351019,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a6207fffffff",1.833,1.833,-64.391862497643,35.3876085145554,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a620bfffffff",1.831,1.831,-64.6484725853589,35.5190035360165,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a620ffffffff",1.831,1.831,-64.5750692645692,35.3964685323015,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a6213fffffff",1.833,1.833,-64.3539276731983,35.6239956688284,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a6217fffffff",1.834,1.834,-64.281189810905,35.5011178304802,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a621bfffffff",1.832,1.832,-64.5380065851125,35.6330220564479,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a6223fffffff",1.832,1.832,-64.4294320349799,35.1521122312123,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a6227fffffff",1.831,1.831,-64.3571923980472,35.0302929891873,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a622bfffffff",1.83,1.83,-64.6117747244453,35.1608077501306,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a622ffffffff",1.83,1.83,-64.539015830551,35.0390392539766,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a6233fffffff",1.833,1.833,-64.3193744314794,35.2652596400199,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a6237fffffff",1.833,1.833,-64.2472718540104,35.1431507347471,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a623bfffffff",1.831,1.831,-64.502056706715,35.274171084495,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a6243fffffff",1.831,1.831,-64.9067130918693,35.6502536916982,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a6247fffffff",1.83,1.83,-64.8323873061077,35.5275385208657,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a624bfffffff",1.83,1.83,-65.0913335829463,35.6584571314715,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a624ffffffff",1.829,1.829,-65.016479552836,35.535800394565,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a6253fffffff",1.833,1.833,-64.7964631519831,35.7647819462453,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a6257fffffff",1.832,1.832,-64.7222695716458,35.6417750349671,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a625bfffffff",1.831,1.831,-64.9814378839345,35.773202840597,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a6263fffffff",1.829,1.829,-64.8679639209277,35.2911889469881,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a6267fffffff",1.829,1.829,-64.7942964977482,35.1692363973647,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a626bfffffff",1.827,1.827,-65.051181921266,35.299293592852,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a626ffffffff",1.828,1.828,-64.9769939089618,35.1773972955182,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a6273fffffff",1.83,1.83,-64.7584575874714,35.4050584265841,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a6277fffffff",1.83,1.83,-64.6849210227478,35.2828144850063,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a627bfffffff",1.828,1.828,-64.9420239733421,35.4133773025209,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a6283fffffff",1.833,1.833,-64.0583998311903,35.728343179049,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a6287fffffff",1.835,1.835,-63.986336125232,35.6051264034949,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a628bfffffff",1.835,1.835,-64.2426332125739,35.7378642884802,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a628ffffffff",1.834,1.834,-64.1700363545609,35.6146968021259,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a6293fffffff",1.834,1.834,-63.9462779380318,35.8420546905194,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a6297fffffff",1.833,1.833,-63.8743606152006,35.7185493852509,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
