"lat","lon","countryCode","month","year","is_retained","h3_id"
41.2545,-70.76567,"US",3,1999,TRUE,"862a06d5fffffff"
40.58333,-73.36667,"US",3,1995,TRUE,"862a10ac7ffffff"
38.21033,-75.13567,"US",3,2000,TRUE,"862a1a49fffffff"
39.75,-74.05,"US",3,1998,TRUE,"862a13af7ffffff"
37.95,-75.26667,"US",3,1998,TRUE,"862aa9a0fffffff"
39.99933,-74.03967,"US",3,1999,TRUE,"862a13bb7ffffff"
39.65,-74.11667,"US",3,1997,TRUE,"862a13adfffffff"
35.63333,-75.45,"US",3,1996,TRUE,"862af141fffffff"
40.594,-73.31517,"US",3,2000,TRUE,"862a10aefffffff"
40.80967,-72.42167,"US",3,1999,TRUE,"862a150f7ffffff"
35.9,-75.58333,"US",3,1998,TRUE,"862af02c7ffffff"
38.38333,-75.05,"US",3,1997,TRUE,"862a1a59fffffff"
40.6,-73.13333,"US",3,1996,TRUE,"862a10a47ffffff"
40.86667,-72.38333,"US",3,1995,TRUE,"862a1501fffffff"
36.06667,-75.68333,"US",3,1996,TRUE,"862af02a7ffffff"
35.86667,-75.53333,"US",3,1993,TRUE,"862af02efffffff"
42.7065,-70.72102,"US",10,2007,TRUE,"862a3002fffffff"
40.18333,-73.96667,"US",3,1996,TRUE,"862a1382fffffff"
40.23333,-73.96667,"US",3,1995,TRUE,"862a13957ffffff"
38.11667,-75.15,"US",3,1996,TRUE,"862aa9b07ffffff"
37.45,-75.61667,"US",3,1996,TRUE,"862af458fffffff"
35.95,-75.6,"US",3,1995,TRUE,"862af02f7ffffff"
40.6,-73.43333,"US",3,1994,TRUE,"862a10ad7ffffff"
40.81571,-72.38724,"US",9,2007,TRUE,"862a150e7ffffff"
40.68879,-72.92856,"US",9,2006,TRUE,"862a156b7ffffff"
42.01352,-70.22694,"US",10,2006,TRUE,"862a31ccfffffff"
40.59199,-73.43537,"US",9,2004,TRUE,"862a10adfffffff"
41.33081,-71.45811,"US",9,2006,TRUE,"862a3320fffffff"
40.92923,-72.20151,"US",9,2006,TRUE,"862a15157ffffff"
41.84821,-69.91577,"US",10,2006,TRUE,"862a31157ffffff"
